n,workers,time_ms,memory_mb
500,1,7.567167282104492,1.9073486328125
500,2,7.781982421875,1.9073486328125
500,4,9.49716567993164,1.9073486328125
500,8,9.773015975952148,1.9073486328125
1000,1,64.94498252868652,7.62939453125
1000,2,80.29913902282715,7.62939453125
1000,4,52.78801918029785,7.62939453125
1000,8,52.876949310302734,7.62939453125
1250,1,114.87913131713867,11.920928955078125
1250,2,113.01088333129883,11.920928955078125
1250,4,109.9848747253418,11.920928955078125
1250,8,108.90603065490723,11.920928955078125
1500,1,299.64399337768555,17.1661376953125
1500,2,293.0150032043457,17.1661376953125
1500,4,289.5050048828125,17.1661376953125
1500,8,291.2859916687012,17.1661376953125
