language,n,mean_seconds,std_seconds,mean_memory_mb,mean_cpu_percent
cpp,128,0.0011050154,6.78498948105301e-05,1.6093800000000003,94.00082
java,128,0.00046719999999999997,4.6868966278338166e-05,1.4,13.580000000000002
python,128,0.06047399999999999,0.0029964767644685675,19.497999999999998,98.66
cpp,256,0.003750576,0.0003057678052542485,2.99688,99.15602
java,256,0.0029444,0.00021050130640924765,3.0,12.42
python,256,0.46931899999999993,0.042429187165205065,24.038,97.58
cpp,384,0.00937761,0.0010047271981488306,5.57812,99.8724
java,384,0.010358000000000001,0.00021721993462847742,4.4,12.24
python,384,1.8456875999999998,0.26073789979364337,29.060000000000002,95.41999999999999
cpp,512,0.020310420000000003,0.0005565817927313105,11.590603999999999,99.11584
java,512,0.022555600000000002,0.0004209148369919974,7.2,14.819999999999999
python,512,4.0651788,0.08368110821565387,39.934000000000005,98.38000000000001
